SATIS_NO;LEAD_ID;MUSTERI_ID;BAYI_KODU;ARAC_KODU;DANISMAN_ID;SATIS_TARIHI;TESLIMAT_TARIHI;NET_FIYAT;ODEME_TIPI;TAKAS_DEGERI;SASE_NO
S001978;L0010684;C005107;D003;V010;A0031;12.12.2025;21.01.2026;4361000;financing;;WBAM4TDMPG5MBC8JD
S001831;L0009779;C003683;D010;V024;A0102;23.09.2025;25.10.2025;2585000;financing;;WBAGMX9NBM7DWL7ZW
S000762;L0004028;C001541;D001;V027;A0013;29.04.2026;06.06.2026;3565000;financing;990000;WBA58T7P1Z7LPUW1E
S000820;L0004312;C000166;D014;V001;A0142;27.04.2026;17.05.2026;3406000;cash;1260000;WBA44N6RHBZ43GW5C
S000749;L0003969;C001256;D002;V032;A0021;26.08.2026;06.09.2026;5831000;bank_transfer;;WBAUGVV44ZANUDLSV
S000176;L0000997;C003405;D002;V029;A0021;06.11.2025;24.11.2025;3300000;bank_transfer;;WBAKG16FKABC0L0M8
S000195;L0001086;C003065;D014;V022;A0143;11.05.2026;21.05.2026;9560000;cash;4300000;WBA23LB9BFJS1ASK7
S000299;L0001695;C001500;D001;V019;A0013;13.01.2025;24.01.2025;4373000;bank_transfer;;WBAR35W331UYNX4X9
S000496;L0002682;C005667;D002;V009;A0023;30.05.2025;08.08.2026;4656000;cash;1470000;WBAT2U4WWWA2UH79K
S000783;L0004123;C004365;D003;V001;A0032;25.06.2025;22.07.2025;3420000;financing;;WBA2CBWKHW19AMRUN
S002125;L0011484;C003235;D011;V005;A0113;06.12.2023;02.02.2025;6623000;financing;;WBAJ9CAL06781S0SV
S001645;L0008949;C000307;D004;V008;A0042;17.04.2026;23.05.2026;3989000;bank_transfer;;WBAUP90FU2E36J2YU
S000732;L0003900;C003534;D004;V028;A0044;08.07.2026;31.07.2026;3809000;financing;;WBAEMFALFJM0GXE6A
S000179;L0001007;C000857;D002;V012;A0021;01.09.2025;29.09.2025;6882000;financing;;WBARKJA1X8MZ0DCRT
S000859;L0004508;C000992;D013;V010;A0133;05.10.2024;27.10.2024;4432000;cash;;WBAUASGFBAU2U5Y7C
S000991;L0005222;C004302;D001;V028;A0012;29.05.2025;08.07.2025;3665000;financing;1250000;WBAY9VKXRJMXKD86K
S001358;L0007326;C002929;D008;V019;A0083;14.01.2026;15.02.2026;4292000;cash;;WBASZ3636K7R81X0A
S001174;L0006149;C002962;D002;V003;A0024;18.12.2024;25.01.2025;4434000;cash;;WBAD6UADWTZGEFKKE
S001778;L0009510;C003256;D002;V025;A0022;28.07.2025;03.08.2025;2988000;cash;;WBAVML6V45E54KH7G
S001946;L0010458;C002192;D010;V001;A0103;20.02.2026;09.03.2026;3395000;financing;;WBAHWMD75R80906DS
S002334;L0012609;C001791;D006;V003;A0063;06.02.2026;18.03.2026;4408000;financing;;WBAMANV3KYSZUYW16
S002662;L0014480;C001563;D002;V031;A0024;13.02.2026;25.02.2026;9916000;financing;3190000;WBA03XTG0PP02SP68
S000033;L0000159;C001121;D012;V026;A0123;11.05.2026;19.06.2026;2732000;cash;;WBAUTD93Y9AFE9NZ4
S001729;L0009302;C001547;D002;V001;A0021;19.07.2025;25.07.2025;3333000;financing;;WBAX59BJG2KLCBZMU
S000234;L0001273;C004020;D004;V016;A0044;28.07.2026;27.08.2026;5032000;financing;;WBAS5RCNHL8473SX4
S001381;L0007478;C003362;D003;V025;A0033;18.08.2025;25.09.2025;2890000;financing;;WBAURWYDUC01K8DTW
S001126;L0005910;C002412;D007;V020;A0073;06.01.2025;15.02.2025;6600000;financing;1760000;WBAJ8B4CW7BK6R3R1
S000546;L0002911;C006128;D006;V016;A0061;24.03.2026;05.04.2026;4981000;cash;;WBAJJ9S518ML958V4
S001180;L0006184;C002265;D007;V024;A0071;21.07.2026;29.08.2026;2615000;cash;;WBAMRU477NHE26DXE
S002235;L0012089;C003595;D001;V017;A0011;15.08.2026;07.09.2026;3788000;cash;;WBAGJN16HHN242V3T
S000858;L0004507;C004054;D010;V033;A0102;02.01.2026;16.01.2026;5316000;financing;;WBA78CDVN629M9N42
S001360;L0007329;C004926;D005;V024;A0051;12.12.2025;26.12.2025;2585000;financing;;WBAGHP87TVBA48A7V
S002447;L0013234;C003089;D007;V019;A0071;09.11.2024;03.12.2024;4222000;bank_transfer;1550000;WBA9UM8NBYAVSUT4T
S000650;L0003495;C004505;D004;V001;A0041;11.11.2025;02.12.2025;3242000;financing;800000;WBAUKN7LDGUJN9Z5V
S002441;L0013214;C003283;D004;V025;A0041;28.12.2024;29.01.2025;2733000;financing;;WBALC84VNZ3480XL3
S002280;L0012349;C002802;D013;V019;A0131;20.04.2026;12.05.2026;4210000;cash;2040000;WBALHW1SJMMNE1BLJ
S000437;L0002408;C002976;D007;V025;A0073;08.09.2025;21.09.2025;2902000;financing;;WBA1LV0J497VL6VLM
S001722;L0009281;C003688;D001;V025;A0014;16.12.2024;16.01.2025;2999000;cash;680000;WBAW01FWM2FKNS9W3
S000472;L0002582;C004154;D005;V018;A0052;20.06.2025;04.07.2025;4548000;cash;720000;WBANMRFG1R25FY580
S000928;L0004834;C003539;D007;V017;A0073;25.07.2026;10.08.2026;3954000;bank_transfer;;WBA5NFWGDWMXZ67MC
S002619;L0014211;C004154;D002;V017;A0023;15.10.2024;26.10.2024;3808000;financing;;WBAGHTBRZ9MRC871F
S001629;L0008854;C001864;D007;V021;A0072;27.12.2025;21.01.2026;7056000;cash;;WBAMR3JT6G2T4CZ43
S001823;L0009717;C001937;D005;V026;A0054;05.08.2026;19.08.2026;2781000;cash;;WBAADJ46S1NKZBS6M
S002620;L0014213;C005540;D003;V009;A0032;18.10.2025;06.11.2025;4731000;financing;;WBAE9XVT0G43GKM5Y
S001862;L0009975;C004235;D007;V009;A0073;18.04.2026;07.05.2026;4807000;financing;;WBA4APKD3DJN1UKB3
S001966;L0010627;C004285;D001;V014;A0014;06.04.2026;05.05.2026;11878000;cash;;WBA8V5AUX5PD5U5MG
S001421;L0007704;C005858;D001;V026;A0012;07.11.2025;11.11.2025;2769000;cash;;WBAS7VY3W5E6PXSP2
S001961;L0010592;C004898;D002;V029;A0023;16.10.2025;30.10.2025;3116000;financing;;WBAJBR6M4UV1TFEWD
S001503;L0008141;C003230;D006;V032;A0063;08.04.2026;17.04.2026;5965000;financing;;WBAPRYNSKMRMH6XF5
S001576;L0008544;C004173;D002;V004;A0023;06.04.2026;21.04.2026;4699000;financing;;WBA14FSBX1995AB07
S000946;L0004978;C002818;D001;V005;A0011;13.04.2026;24.05.2026;6637000;financing;1290000;WBAFH5XA1CVZ6VHXG
S002076;L0011191;C005011;D005;V010;A0053;14.02.2024;24.03.2025;4368000;cash;;WBAPCWSBZV1ZM5CXC
S002010;L0010832;C000527;D011;V034;A0111;04.03.2026;05.04.2026;5704000;financing;;WBASJFSW592FWCA05
S002568;L0013907;C001503;D003;V014;A0033;03.08.2026;12.08.2026;11518000;financing;;WBA05N4Y9D1KP487P
S001252;L0006657;C000109;D002;V009;A0021;29.06.2026;12.08.2026;4689000;financing;;WBAU9P49XJ3F4SW9L
S001948;L0010463;C003815;D010;V033;A0104;24.08.2026;26.09.2026;5214000;financing;1870000;WBASADG9SPJST5ESF
S001964;L0010602;C005904;D004;V026;A0043;16.09.2025;15.10.2025;2780000;cash;;WBADGY2VNWFD1PUUM
S001668;L0009068;C001540;D001;V032;A0011;07.03.2026;07.04.2026;5630000;cash;;WBA3YT7L9K6N0ER7R
S001134;L0005963;C000057;D009;V025;A0093;17.10.2025;29.10.2025;2886000;financing;;WBAJJ0L6PCE44R2ED
S002084;L0011250;C000648;D014;V029;A0141;29.01.2026;11.02.2026;3168000;financing;;WBAFCGJUTWGRTRA1P
S000544;L0002905;C001083;D007;V011;A0074;27.04.2026;01.06.2026;5990000;financing;;WBAURG6JYTL3DMVG2
S000074;L0000432;C000738;D003;V024;A0034;21.01.2026;26.01.2026;2526000;financing;1030000;WBAMKT4L2E4E4N40A
S000388;L0002169;C000052;D004;V028;A0042;04.12.2024;29.12.2024;3759000;financing;;WBANPTTE14J04JLA1
S000310;L0001765;C002728;D007;V028;A0072;29.03.2024;15.06.2025;3786000;bank_transfer;;WBAW02EGDP71T91TB
S001196;L0006300;C004631;D003;V026;A0032;18.10.2025;25.10.2025;2836000;financing;850000;WBAWZ7LK3BK1W45G5
S000558;L0002958;C000607;D008;V009;A0082;03.04.2026;16.04.2026;4670000;financing;2350000;WBAE070H0E2CLHP9C
S000510;L0002733;C004732;D003;V019;A0032;10.02.2026;11.03.2026;4379000;financing;;WBA7EDR0UAUD9YRPR
S001555;L0008406;C003427;D008;V024;A0082;16.01.2026;30.01.2026;2566000;financing;;WBA91Z57WC3V5Y3DX
S000451;L0002476;C001601;D002;V024;A0024;18.12.2025;26.01.2026;2536000;cash;;WBA0E9XZ5XCA14DA0
S000677;L0003650;C002958;D009;V033;A0092;19.12.2025;11.01.2026;4871000;cash;;WBADM2KPN8V4GRNHC
S000671;L0003605;C005947;D004;V009;A0041;19.01.2026;03.02.2026;4504000;financing;;WBACE9F1A3XZHB3RJ
S002503;L0013528;C005007;D012;V011;A0123;26.08.2026;24.09.2026;6046000;cash;;WBAUN0G5V1YZWEYUZ
S001125;L0005909;C000656;D007;V002;A0073;24.11.2025;18.12.2025;3662000;financing;1440000;WBANV2318AR26HEPL
S002676;L0014532;C004585;D004;V013;A0042;24.06.2026;14.07.2026;10734000;financing;3000000;WBACXL3X3VRU13ZV6
S002709;L0014787;C004351;D007;V011;A0073;23.09.2025;06.10.2025;6096000;financing;;WBAU7ARUFFS4XBVNT
S002329;L0012592;C004631;D001;V027;A0014;10.07.2026;07.08.2026;3577000;financing;;WBA0PFDXPKCTRLKL4
S000081;L0000456;C006118;D003;V005;A0031;26.01.2026;04.03.2026;6377000;bank_transfer;;WBAJWXYV2HHLDA2VY
S000600;L0003147;C005028;D009;V019;A0092;03.08.2026;02.09.2026;4346000;financing;;WBALBFK16CU8EL3YB
S000892;L0004669;C005590;D003;V017;A0034;03.12.2025;12.12.2025;3964000;financing;770000;WBAG6EL1SKFY2CKJ2
S002560;L0013856;C000955;D006;V011;A0061;24.04.2026;27.04.2026;6107000;bank_transfer;;WBANTPWA3326BVZ8P
S002518;L0013615;C002640;D004;V025;A0041;29.09.2025;06.10.2025;2811000;financing;;WBA5Z44637SFRYXBZ
S002350;L0012714;C001438;D001;V019;A0013;20.05.2025;23.06.2025;4463000;financing;;WBAJ3L5ZLS04Z36WT
S001899;L0010212;C003989;D010;V022;A0101;23.06.2026;04.07.2026;9120000;financing;;WBA6D5VSF2023AL4L
S001413;L0007674;C004207;D001;V004;A0014;04.05.2026;12.05.2026;5022000;bank_transfer;;WBAXPEU8TE4MU6VXF
S002074;L0011179;C001494;D010;V008;A0103;27.05.2026;07.07.2026;4091000;financing;;WBAHCHRK8X9C2M9F3
S002431;L0013169;C000109;D003;V035;A0031;31.03.2025;10.05.2025;7550000;cash;;WBAYNMGRG32NFW8YU
S001846;L0009885;C001286;D002;V027;A0021;06.04.2026;20.04.2026;3568000;financing;;WBA92D6V18SN3AZEE
S001314;L0007086;C002319;D001;V006;A0013;30.06.2026;23.07.2026;7395000;cash;;WBAWZFX9A1FN028RX
S000901;L0004725;C002769;D003;V001;A0033;14.07.2026;15.08.2026;3252000;financing;;WBAMK6CRLPUZJF02W
S001028;L0005439;C003436;D005;V022;A0053;08.04.2026;13.04.2026;9545000;cash;;WBABTWTF64ADK2DBC
S000197;L0001098;C004072;D007;V001;A0072;12.05.2025;14.06.2025;3385000;cash;;WBAFW7PHWRA47W8RT
S002470;L0013364;C005927;D009;V034;A0092;08.08.2026;12.08.2026;5926000;financing;2640000;WBAUUVFBN2PUMNR8K
S002382;L0012923;C000709;D014;V025;A0143;10.07.2025;28.07.2025;2991000;financing;460000;WBA9TTH627LW238PT
S000325;L0001860;C005509;D007;V028;A0071;12.11.2025;09.12.2025;3805000;financing;;WBA2BB2ZAK2XT992K
S002116;L0011448;C003342;D001;V018;A0012;27.11.2024;23.12.2024;4518000;financing;;WBASJLTCECA80AHAL
S000142;L0000806;C002319;D001;V020;A0014;24.12.2025;13.01.2026;6419000;bank_transfer;3220000;WBAXRLZK1Z0KAX0EU
S000830;L0004370;C003970;D009;V024;A0091;25.11.2024;12.12.2024;2522000;financing;;WBAKVC6SWT66ZDZCW
S000045;L0000290;C002574;D002;V025;A0023;30.09.2025;30.10.2025;2905000;cash;960000;WBAK9HGJDSDES3ZFG
S000913;L0004781;C000821;D007;V011;A0072;22.06.2026;02.08.2026;6179000;financing;;WBAZJGVA6YKJETE2G
S002093;L0011301;C000622;D008;V018;A0081;04.09.2025;12.09.2025;4589000;financing;1520000;WBAM6JN8F3587ED61
S001406;L0007600;C000788;D004;V001;A0043;16.03.2026;03.04.2026;3307000;cash;;WBAD9K9APBN3XF6PA
S000569;L0003006;C004714;D004;V028;A0044;12.02.2025;19.02.2025;3816000;cash;;WBAAP2KWLDGR3A1MS
S001728;L0009301;C005199;D012;V010;A0123;16.06.2026;30.07.2026;4447000;financing;1470000;WBA5K2R5C9G4KY71R
S001656;L0009005;C002854;D002;V034;A0024;13.01.2026;17.02.2026;5501000;financing;;WBAH1LSABBURSGL0E
S000566;L0002994;C002984;D008;V013;A0081;04.06.2026;14.07.2026;11130000;financing;;WBARAWH9KT13SH5D4
S002128;L0011512;C002817;D001;V022;A0012;06.06.2025;14.07.2025;9500000;bank_transfer;;WBA8UM6NX0A0V30TY
S000094;L0000525;C004280;D004;V027;A0044;26.02.2026;06.03.2026;3581000;cash;;WBAHWTE00HV3Y6W7D
S001426;L0007722;C000351;D007;V024;A0074;11.04.2026;05.05.2026;2569000;financing;1160000;WBAV8ZJ61RE5ZNAYU
S000966;L0005089;C000883;D009;V026;A0091;16.03.2026;06.04.2026;2735000;cash;;WBAT72Z3PWR0FX4BX
S001091;L0005699;C005123;D009;V029;A0093;18.08.2026;06.09.2026;3083000;financing;;WBA2WYZNW13TK4M0G
S000479;L0002624;C004988;D007;V024;A0073;08.06.2026;21.06.2026;2464000;financing;550000;WBAMCKWM88BX690MS
S000499;L0002695;C004967;D001;V032;A0012;10.01.2026;28.01.2026;6200000;financing;;WBAAJ87YLZZEPP4YF
S002566;L0013901;C004549;D004;V024;A0044;11.06.2026;11.07.2026;2650000;cash;;WBASVVPGTZABZX5SV
S002041;L0011002;C004770;D014;V010;A0141;13.03.2026;12.04.2026;4348000;financing;;WBA8Z1AGNVCCHYSSS
S001481;L0008011;C001799;D007;V004;A0073;15.04.2026;19.05.2026;4800000;financing;;WBAES5312YCETBF5V
S001128;L0005918;C003542;D002;V020;A0023;14.02.2025;14.03.2025;6351000;cash;;WBA0E1CNYHTULXU8S
S000645;L0003467;C001591;D009;V003;A0092;20.09.2025;01.11.2025;4352000;bank_transfer;1400000;WBAL9TAU6TNX1GF0A
S002290;L0012398;C002743;D003;V032;A0031;02.09.2025;08.09.2025;6054000;bank_transfer;2470000;WBABATCMTHWB1M9Z4
S001648;L0008971;C001226;D009;V024;A0092;11.10.2025;17.10.2025;2527000;cash;1120000;WBAFRPYMTXDKCXCY9
S002182;L0011839;C002607;D004;V033;A0042;28.07.2025;17.08.2025;5378000;cash;;WBA1HGWVF4FV5S9VB
S002665;L0014495;C001317;D006;V032;A0064;06.05.2026;12.06.2026;5915000;financing;;WBA9DBL6AND2LLGJ7
S001035;L0005480;C002876;D009;V019;A0091;10.10.2025;29.10.2025;4200000;financing;;WBAST04A1YE6VC5B4
S001564;L0008458;C003086;D001;V003;A0012;12.06.2026;13.07.2026;4330000;bank_transfer;;WBAEYAWJV9SURHDNF
S000394;L0002199;C000556;D004;V026;A0042;08.09.2025;19.09.2025;2861000;financing;;WBALY9BDAH0A9V1Z6
S002630;L0014284;C001080;D001;V010;A0011;10.02.2026;16.03.2026;4309000;cash;;WBAE5F4YT8A6SNLT0
S001178;L0006166;C003532;D004;V029;A0042;05.09.2025;20.09.2025;3274000;financing;;WBA8772WBVY8CXF8M
S000319;L0001817;C002942;D013;V018;A0133;11.12.2025;16.01.2026;4494000;financing;;WBAAC38ZPWGD5PF64
S000480;L0002627;C005816;D008;V015;A0082;30.05.2025;29.06.2025;15233000;cash;;WBA2AFFL7YCJDP9V6
S001287;L0006920;C005553;D002;V024;A0023;16.05.2025;08.06.2025;2569000;cash;;WBAYD3KUAS3Z4EPZR
S002514;L0013597;C002135;D001;V020;A0013;29.10.2025;25.11.2025;6600000;cash;1800000;WBAXL4TTM9ZRHN3B7
S002121;L0011472;C000969;D001;V029;A0014;04.08.2026;25.08.2026;3144000;cash;;WBAEN8HLVRJ250R57
S000582;L0003045;C005955;D009;V018;A0092;09.07.2025;21.07.2025;4618000;bank_transfer;2040000;WBA08EHSMCLXWAGZ2
S000706;L0003797;C000357;D009;V002;A0093;15.10.2025;16.11.2025;3609000;financing;1060000;WBA68RY9PDF9SYYKW
S001577;L0008545;C003100;D002;V027;A0024;30.04.2025;04.06.2025;3575000;financing;;WBAFBKW1TVU197PS3
S000071;L0000412;C005153;D002;V026;A0022;19.11.2025;22.12.2025;2820000;cash;;WBAWESKRENBC1W1NJ
S001271;L0006772;C000430;D009;V034;A0092;23.12.2025;04.02.2026;5970000;financing;;WBA0Z4TC3GTFUSXYT
S002481;L0013424;C005134;D007;V033;A0074;02.01.2026;06.01.2026;5225000;financing;;WBACGG7U7GVVFJGVL
S001930;L0010362;C003710;D012;V014;A0122;10.04.2025;17.05.2025;11895000;cash;;WBAMPZV1JP12GNXDP
S001208;L0006395;C002185;D008;V027;A0084;19.01.2026;12.02.2026;3383000;bank_transfer;;WBA434DZGET65MMF7
S000057;L0000335;C004323;D010;V013;A0102;01.01.2026;05.02.2026;10473000;cash;;WBAWV7JE31D3P35VF
S001647;L0008958;C003772;D008;V029;A0081;16.01.2025;13.02.2025;3262000;cash;;WBALS8L13J8HJW270
S002185;L0011846;C004409;D004;V003;A0043;23.02.2026;28.03.2026;4399000;financing;;WBAV1MWT06TBH8VHF
S000355;L0002004;C000947;D002;V001;A0024;21.10.2025;26.11.2025;3330000;cash;;WBA4MP3PR6WMJPASV
S001033;L0005471;C002704;D003;V026;A0031;28.05.2026;15.06.2026;2818000;financing;620000;WBAB69846AGHNT29V
S002494;L0013490;C003668;D006;V003;A0064;24.02.2025;14.03.2025;4376000;cash;;WBABL1WWDAX31HX80
S000212;L0001176;C004147;D005;V029;A0051;19.09.2025;28.10.2025;3142000;cash;1470000;WBAZ6N8RLBX77W3JT
S001230;L0006546;C000175;D005;V026;A0053;10.06.2025;09.07.2025;2832000;bank_transfer;;WBABGDD0HYEPHDWHS
S002188;L0011858;C000880;D004;V026;A0043;03.05.2025;02.06.2025;2662000;financing;;WBAJ840WGV1RKAYE9
S001625;L0008839;C000797;D002;V031;A0021;30.05.2025;30.06.2025;10255000;cash;;WBAJSDRM59V5BTVA6
S002556;L0013841;C003722;D001;V013;A0011;02.04.2025;30.04.2025;10663000;cash;;WBAB3WCYY6SP6KSZ4
S001701;L0009209;C004551;D003;V018;A0032;31.05.2025;16.06.2025;4599000;cash;;WBAZJ9MDL0TH530KM
S000533;L0002850;C004465;D001;V029;A0013;13.07.2026;11.08.2026;3158000;financing;;WBAY4YUR61MW6X3JG
S000125;L0000730;C005476;D005;V025;A0054;16.05.2026;25.06.2026;3007000;financing;;WBA8KGG4G7NHD3FKR
S002696;L0014680;C001996;D003;V017;A0032;28.03.2026;21.04.2026;3778000;cash;;WBAM64AVN4WAVLNWR
S001338;L0007192;C001547;D007;V002;A0073;25.06.2025;24.07.2025;3688000;financing;1460000;WBAZMBXK0M0NX50UC
S001953;L0010524;C002790;D006;V016;A0062;02.02.2026;04.03.2026;5062000;financing;;WBAPJ46K7LSBH530V
S002346;L0012691;C000210;D011;V004;A0114;14.07.2025;13.08.2025;4861000;financing;;WBA3YC6TZZ69U7XNA
S001685;L0009144;C000523;D012;V027;A0124;23.12.2024;07.01.2025;3535000;financing;;WBA1VKY5DXUBYGA9B
S000618;L0003292;C002992;D009;V001;A0092;09.03.2026;19.03.2026;3191000;financing;;WBAVBSX73X0DKUU3M
S001065;L0005576;C004717;D006;V028;A0064;18.07.2026;21.08.2026;3790000;bank_transfer;1110000;WBAK4ED8FFLWUT43H
S001509;L0008166;C004340;D003;V022;A0032;27.08.2025;05.10.2025;9599000;financing;;WBAJ3JP9P26883LAS
S001567;L0008490;C004984;D006;V027;A0061;30.08.2025;08.10.2025;3600000;financing;1670000;WBA3W4AWJP6WS5GMX
S001478;L0008002;C002647;D005;V004;A0054;25.11.2024;08.12.2024;4816000;financing;;WBAFL37GR3Z085ALF
S000555;L0002948;C004272;D013;V004;A0131;09.03.2026;18.03.2026;4757000;bank_transfer;;WBAS5T45NMVW03FPJ
S001610;L0008783;C004147;D006;V008;A0064;15.06.2026;23.07.2026;3979000;bank_transfer;1250000;WBAXP5GFRSYG058PN
S001018;L0005399;C001767;D010;V028;A0102;25.07.2025;05.09.2025;3735000;financing;;WBAE54KYZHDEVAR89
S000434;L0002395;C005906;D013;V032;A0133;08.04.2026;07.05.2026;5903000;cash;;WBAU37JLL091024RK
S000529;L0002837;C005715;D009;V004;A0092;25.07.2026;13.08.2026;4852000;financing;;WBAE4J3BCZ7UYA71H
S002123;L0011480;C001553;D005;V017;A0054;08.02.2025;17.02.2025;3954000;financing;;WBANGLS9TU7NLV3T8
S000565;L0002991;C003284;D008;V024;A0084;08.05.2026;16.06.2026;2517000;financing;780000;WBALNH5ZTCD3TDM0Z
S001294;L0006938;C002595;D004;V007;A0042;14.03.2026;19.03.2026;13964000;financing;;WBA6T6LRNDFF9EDNW
S000606;L0003193;C004849;D001;V019;A0012;01.12.2025;23.12.2025;4375000;cash;;WBAS9RBNYMUMECBTP
S002224;L0012032;C005099;D013;V005;A0134;20.05.2025;23.06.2025;6735000;financing;1210000;WBAEY99YPE917538S
S001101;L0005757;C005023;D011;V016;A0112;19.01.2026;25.01.2026;5158000;financing;950000;WBA7XRHB84GWWL74C
S002016;L0010850;C003112;D014;V020;A0141;25.02.2026;24.03.2026;6105000;bank_transfer;;WBA5CJ2UVYCTL8JBA
S001394;L0007550;C005957;D011;V026;A0114;18.04.2026;20.05.2026;2748000;financing;;WBA4W7Y3WJYW874EB
S000416;L0002312;C000172;D004;V028;A0043;25.03.2025;21.04.2025;3904000;financing;;WBAM4VM75X25MN6TC
