TEKLIF_NO;LEAD_ID;ARAC_KODU;BAYI_KODU;TEKLIF_TARIHI;LISTE_FIYATI;ISKONTO_ORANI;NET_FIYAT;FINANSMAN;GECERLILIK_TARIHI;TEKLIF_DURUMU
O000040;L0000074;V005;D002;13.05.2026;6900000;7,64;6373000;H;27.05.2026;accepted
O000041;L0000075;V033;D011;30.06.2026;5400000;3,06;;H;14.07.2026;accepted
O000042;L0000079;V003;D002;25.05.2026;4650000;8,52;4253000;E;08.06.2026;accepted
O000043;L0000087;V024;D001;10.04.2026;2650000;4,87;2520000;E;24.04.2026;accepted
O000044;L0000091;V037;D001;04.06.2026;17500000;2,37;17084000;H;18.06.2026;rejected
O000045;L0000093;V019;D012;20.04.2026;4500000;3,21;4355000;E;04.05.2026;rejected
O000046;L0000098;V021;D003;18.05.2026;7400000;4,31;7081000;E;01.06.2026;rejected
O000047;L0000100;V029;D004;28.11.2025;3300000;7,16;3063000;H;12.12.2025;accepted
O000048;L0000104;V033;D001;26.08.2026;5400000;3,24;5225000;E;09.09.2026;open
O000049;L0000107;V032;D002;23.05.2025;6200000;5,92;5832000;H;06.06.2025;rejected
O000050;L0000108;V012;D010;01.09.2025;7100000;3,57;6846000;H;15.09.2025;rejected
O000051;L0000109;V025;D003;27.02.2026;3050000;4,78;2904000;H;13.03.2026;rejected
O000052;L0000110;V007;D008;16.09.2025;14500000;2,36;14158000;H;30.09.2025;rejected
O000053;L0000111;V008;D010;19.02.2026;4200000;2,11;4111000;H;05.03.2026;rejected
O000054;L0000112;V024;D003;11.10.2025;2650000;3,38;2560000;H;25.10.2025;accepted
O000055;L0000114;V032;D006;05.09.2025;6200000;2,49;6045000;H;19.09.2025;accepted
O000056;L0000116;V029;D006;16.01.2026;3300000;1,11;3263000;H;30.01.2026;rejected
O000057;L0000117;V001;D009;28.11.2024;3450000;1,79;3388000;E;12.12.2024;rejected
O000058;L0000118;V034;D012;06.12.2025;6100000;3,34;5896000;E;20.12.2025;rejected
O000059;L0000121;V019;D009;02.02.2026;4500000;1,22;4445000;E;16.02.2026;rejected
O000060;L0000123;V006;D007;22.09.2025;7800000;8,24;7156000;H;06.10.2025;accepted
O000061;L0000125;V011;D001;21.07.2025;6400000;3,96;6146000;H;04.08.2025;accepted
O000062;L0000126;V031;D005;04.11.2024;10800000;5,97;10154000;H;18.11.2024;rejected
O000063;L0000127;V026;D005;30.09.2025;2900000;4,04;2782000;H;14.10.2025;rejected
O000064;L0000128;V027;D001;21.01.2026;3700000;4,53;3532000;H;04.02.2026;rejected
O000065;L0000129;V027;D006;28.03.2025;3700000;0,0;3700000;H;11.04.2025;rejected
O000066;L0000130;V011;D003;04.08.2026;6400000;2,62;6232000;E;18.08.2026;rejected
O000067;L0000131;V026;D006;30.12.2024;2900000;0,54;2884000;E;13.01.2025;accepted
O000068;L0000136;V034;D007;20.03.2025;6100000;6,14;5725000;E;03.04.2025;rejected
O000069;L0000138;V029;D014;28.11.2025;3300000;5,95;3103000;E;12.12.2025;accepted
O000070;L0000139;V031;D002;20.04.2026;10800000;4,07;10360000;H;04.05.2026;accepted
O000071;L0000143;V026;D007;20.04.2026;2900000;5,69;2734000;H;04.05.2026;accepted
O000072;L0000144;V028;D002;21.12.2024;4000000;6,43;3742000;H;04.01.2025;rejected
O000073;L0000145;V024;D004;18.03.2026;2650000;7,78;2443000;H;01.04.2026;accepted
O000074;L0000146;V008;D008;05.09.2025;4200000;3,98;4032000;E;19.09.2025;rejected
O000075;L0000151;V032;D006;04.11.2025;6200000;7,31;5747000;H;18.11.2025;rejected
O000076;L0000156;V024;D002;18.05.2026;2650000;6,05;2489000;H;01.06.2026;accepted
O000077;L0000158;V026;D005;03.02.2026;2900000;5,49;;E;17.02.2026;accepted
O000078;L0000159;V026;D012;04.05.2026;2900000;5,77;2732000;H;18.05.2026;accepted
O000079;L0000160;V021;D003;04.08.2025;7400000;1,93;7257000;E;18.08.2025;rejected
O000080;L0000163;V028;D007;26.01.2026;4000000;5,36;3785000;H;09.02.2026;rejected
O000081;L0000165;V019;D004;26.05.2025;4500000;6,08;4226000;E;09.06.2025;rejected
O000082;L0000166;V026;D014;21.08.2026;2900000;9,04;2637000;H;04.09.2026;expired
O000083;L0000168;V028;D003;09.03.2026;4000000;5,78;3768000;H;23.03.2026;accepted
O000084;L0000173;V029;D003;25.01.2025;3300000;7,42;3055000;E;08.02.2025;rejected
O000085;L0000180;V003;D008;30.03.2026;4650000;4,68;4432000;E;13.04.2026;rejected
O000086;L0000184;V028;D004;10.08.2026;4000000;0,73;3970000;H;24.08.2026;rejected
O000087;L0000185;V007;D006;01.07.2026;14500000;5,51;13700000;E;15.07.2026;accepted
O000088;L0000186;V012;D008;05.08.2025;7100000;10,4;6361000;H;19.08.2025;rejected
O000089;L0000188;V008;D007;19.06.2026;4200000;9,49;3801000;H;03.07.2026;rejected
O000090;L0000190;V034;D004;02.01.2026;6100000;6,42;5708000;H;16.01.2026;rejected
O000091;L0000191;V009;D002;25.12.2025;4900000;3,55;4726000;E;08.01.2026;accepted
O000092;L0000193;V023;D001;13.11.2025;15900000;1,21;15707000;E;27.11.2025;rejected
O000093;L0000196;V013;D002;03.09.2025;11200000;3,89;10764000;H;17.09.2025;accepted
O000094;L0000198;V011;D001;19.12.2025;6400000;3,23;6193000;E;02.01.2026;rejected
O000095;L0000199;V031;D003;20.11.2025;10800000;2,4;10541000;H;04.12.2025;rejected
O000096;L0000201;V002;D003;24.09.2025;3900000;5,77;3674000;E;08.10.2025;rejected
O000097;L0000204;V005;D010;31.01.2026;6900000;6,04;6483000;H;14.02.2026;rejected
O000098;L0000207;V011;D006;03.01.2026;6400000;3,1;6201000;E;17.01.2026;rejected
O000099;L0000208;V010;D011;01.12.2025;4600000;9,24;4175000;E;15.12.2025;rejected
O000100;L0000209;V031;D004;15.06.2026;10800000;2,51;10529000;H;29.06.2026;rejected
O000101;L0000213;V032;D003;13.01.2026;6200000;2,51;6044000;H;27.01.2026;rejected
O000102;L0000218;V022;D003;26.02.2026;9800000;5,6;9251000;H;12.03.2026;rejected
O000103;L0000221;V026;D009;27.09.2025;2900000;6,34;2716000;E;11.10.2025;rejected
O000104;L0000222;V024;D006;29.01.2025;2650000;1,35;2614000;E;12.02.2025;rejected
O000105;L0000226;V017;D008;01.11.2024;4100000;2,35;4003000;H;15.11.2024;rejected
O000106;L0000228;V019;D005;19.12.2025;4500000;3,83;4327000;E;02.01.2026;accepted
O000107;L0000229;V010;D012;13.08.2026;4600000;2,67;4477000;H;27.08.2026;rejected
O000108;L0000230;V002;D006;21.12.2024;3900000;8,37;3573000;E;04.01.2025;accepted
O000109;L0000231;V033;D005;27.08.2026;5400000;7,03;5020000;E;10.09.2026;open
O000110;L0000232;V029;D006;06.12.2024;3300000;6,26;3093000;H;20.12.2024;accepted
O000111;L0000237;V021;D003;13.06.2026;7400000;2,38;7223000;E;27.06.2026;rejected
O000112;L0000241;V025;D009;04.08.2026;3050000;4,88;2901000;H;18.08.2026;accepted
O000113;L0000246;V024;D004;27.10.2025;2650000;5,72;2498000;E;10.11.2025;rejected
O000114;L0000248;V002;D013;06.10.2025;3900000;5,21;3696000;H;20.10.2025;rejected
O000115;L0000256;V015;D014;19.11.2025;16800000;2,67;16351000;H;03.12.2025;rejected
O000116;L0000259;V010;D001;06.06.2025;4600000;8,04;;H;20.06.2025;accepted
O000117;L0000267;V009;D001;30.03.2026;4900000;2,57;4773000;E;13.04.2026;accepted
O000118;L0000269;V014;D007;04.06.2026;12300000;5,65;11605000;E;18.06.2026;rejected
O000119;L0000271;V021;D006;15.04.2026;7400000;3,45;7144000;H;29.04.2026;rejected
O000120;L0000276;V003;D005;27.01.2025;4650000;2,63;4527000;E;10.02.2025;rejected
O000121;L0000277;V027;D004;12.05.2025;3700000;2,31;3614000;H;26.05.2025;rejected
O000122;L0000281;V015;D003;06.03.2026;16800000;4,12;16108000;H;20.03.2026;rejected
O000123;L0000282;V034;D014;20.04.2026;6100000;5,88;5741000;H;04.05.2026;rejected
O000124;L0000283;V026;D004;29.10.2024;2900000;8,1;2665000;H;12.11.2024;accepted
O000125;L0000290;V025;D002;22.09.2025;3050000;4,73;2905000;H;06.10.2025;accepted
O000126;L0000291;V010;D001;17.08.2026;4600000;4,22;4406000;E;31.08.2026;accepted
O000127;L0000295;V026;D003;14.08.2026;2900000;4,05;2782000;E;28.08.2026;accepted
O000128;L0000300;V019;D007;15.11.2025;4500000;1,03;4453000;H;29.11.2025;rejected
O000129;L0000301;V028;D008;15.04.2026;4000000;2,75;3890000;E;29.04.2026;rejected
O000130;L0000303;V028;D009;04.05.2026;4000000;0,0;4000000;E;18.05.2026;accepted
O000131;L0000307;V027;D003;20.03.2026;3700000;4,68;3526000;H;03.04.2026;accepted
O000132;L0000308;V027;D013;01.09.2025;3700000;4,9;3518000;E;15.09.2025;rejected
O000133;L0000310;V026;D010;25.10.2025;2900000;7,8;2673000;H;08.11.2025;rejected
O000134;L0000311;V027;D007;21.11.2025;3700000;3,86;3557000;E;05.12.2025;rejected
O000135;L0000312;V004;D003;15.06.2026;5100000;0,0;5100000;H;29.06.2026;rejected
O000136;L0000313;V010;D008;14.01.2025;4600000;7,78;4242000;H;28.01.2025;accepted
O000137;L0000314;V023;D003;10.08.2026;15900000;1,85;15606000;H;24.08.2026;accepted
O000138;L0000317;V027;D008;28.07.2025;3700000;2,1;3622000;E;11.08.2025;accepted
O000139;L0000318;V001;D009;07.08.2026;3450000;2,71;3356000;E;21.08.2026;accepted
O000140;L0000320;V027;D010;01.12.2025;3700000;7,61;3418000;E;15.12.2025;accepted
O000141;L0000321;V028;D011;31.12.2024;4000000;8,67;3653000;H;14.01.2025;accepted
O000142;L0000323;V028;D001;15.02.2025;4000000;6,33;3746000;H;01.03.2025;rejected
O000143;L0000324;V008;D003;12.09.2025;4200000;4,35;4017000;H;26.09.2025;rejected
O000144;L0000325;V002;D004;30.01.2026;3900000;5,87;3670000;E;13.02.2026;rejected
O000145;L0000328;V021;D012;05.08.2026;7400000;2,84;7189000;E;19.08.2026;rejected
O000146;L0000329;V004;D005;18.01.2025;5100000;2,41;4977000;H;01.02.2025;rejected
O000147;L0000333;V006;D001;15.12.2025;7800000;8,23;7158000;H;29.12.2025;accepted
O000148;L0000335;V013;D010;17.12.2025;11200000;6,49;10473000;H;31.12.2025;accepted
O000149;L0000337;V020;D004;17.02.2026;6600000;8,41;6045000;E;03.03.2026;accepted
O000150;L0000339;V034;D005;07.04.2025;6100000;6,63;5695000;H;21.04.2025;rejected
O000151;L0000345;V011;D004;19.08.2025;6400000;2,55;6236000;H;02.09.2025;accepted
O000152;L0000347;V018;D008;20.11.2024;4700000;4,91;4469000;E;04.12.2024;accepted
O000153;L0000348;V035;D011;21.06.2025;7900000;1,72;7764000;H;05.07.2025;rejected
O000154;L0000349;V033;D008;10.02.2026;5400000;5,72;5090000;E;24.02.2026;rejected
O000155;L0000351;V003;D013;03.10.2025;4650000;3,05;4508000;H;17.10.2025;rejected
O000156;L0000353;V034;D008;25.06.2026;6100000;5,36;5772000;H;09.07.2026;accepted
O000157;L0000355;V024;D007;01.02.2025;2650000;2,2;2591000;H;15.02.2025;accepted
O000158;L0000358;V025;D014;05.05.2026;3050000;4,12;2924000;H;19.05.2026;rejected
O000159;L0000361;V028;D002;20.08.2025;4000000;2,99;3880000;E;03.09.2025;rejected
O000160;L0000365;V031;D004;12.03.2025;10800000;4,81;10280000;H;26.03.2025;accepted
O000161;L0000367;V016;D011;24.08.2026;5300000;5,44;5011000;H;07.09.2026;open
O000162;L0000368;V019;D001;29.08.2026;4500000;0,0;4500000;E;12.09.2026;open
O000163;L0000372;V019;D004;13.07.2026;4500000;3,41;4346000;H;27.07.2026;accepted
O000164;L0000377;V027;D002;16.06.2025;3700000;6,65;3454000;H;30.06.2025;accepted
O000165;L0000378;V019;D010;21.07.2025;4500000;6,07;4226000;H;04.08.2025;accepted
O000166;L0000379;V012;D003;07.08.2026;7100000;8,31;6510000;H;21.08.2026;rejected
O000167;L0000380;V026;D008;16.06.2025;2900000;0,56;2883000;E;30.06.2025;accepted
O000168;L0000381;V001;D003;06.11.2025;3450000;7,01;3208000;H;20.11.2025;accepted
O000169;L0000382;V017;D001;14.02.2026;4100000;4,01;3935000;E;28.02.2026;rejected
O000170;L0000385;V026;D007;02.07.2026;2900000;6,13;2722000;E;16.07.2026;accepted
O000171;L0000388;V026;D004;26.03.2026;2900000;4,11;2780000;H;09.04.2026;rejected
O000172;L0000391;V009;D011;22.04.2026;4900000;2,9;;H;06.05.2026;rejected
O000173;L0000393;V017;D006;26.10.2024;4100000;2,18;4010000;E;09.11.2024;rejected
O000174;L0000394;V008;D002;15.11.2025;4200000;9,6;3796000;E;29.11.2025;rejected
O000175;L0000395;V014;D004;13.07.2026;12300000;2,93;11939000;E;27.07.2026;rejected
O000176;L0000398;V001;D003;02.07.2026;3450000;0,0;3450000;H;16.07.2026;rejected
O000177;L0000400;V036;D009;10.02.2025;14200000;1,99;13917000;H;24.02.2025;rejected
O000178;L0000402;V008;D012;30.10.2024;4200000;4,16;4025000;H;13.11.2024;rejected
O000179;L0000403;V004;D003;19.07.2025;5100000;3,6;4916000;H;02.08.2025;rejected
O000180;L0000407;V036;D003;19.09.2025;14200000;2,69;13817000;E;03.10.2025;rejected
O000181;L0000410;V010;D001;31.07.2026;4600000;3,2;4452000;E;14.08.2026;accepted
O000182;L0000411;V035;D005;06.05.2026;7900000;6,75;7366000;E;20.05.2026;rejected
O000183;L0000412;V026;D002;17.11.2025;2900000;2,74;2820000;H;01.12.2025;accepted
O000184;L0000413;V006;D014;08.09.2025;7800000;1,65;7671000;H;22.09.2025;rejected
O000185;L0000419;V034;D006;11.02.2026;6100000;2,29;5960000;H;25.02.2026;accepted
O000186;L0000420;V010;D011;29.08.2026;4600000;4,37;4398000;H;12.09.2026;expired
O000187;L0000421;V011;D010;11.02.2025;6400000;0,0;6400000;H;25.02.2025;rejected
O000188;L0000424;V012;D003;25.04.2026;7100000;7,06;6598000;E;09.05.2026;rejected
O000189;L0000425;V038;D002;25.09.2024;22000000;3,54;21221000;H;09.10.2024;rejected
O000190;L0000428;V010;D003;27.04.2026;4600000;2,08;4504000;H;11.05.2026;rejected
O000191;L0000429;V018;D002;16.03.2026;4700000;2,46;4584000;H;30.03.2026;rejected
O000192;L0000431;V017;D010;31.03.2026;4100000;3,71;3947000;H;14.04.2026;accepted
O000193;L0000432;V024;D003;19.01.2026;2650000;4,66;2526000;E;02.02.2026;accepted
O000194;L0000433;V035;D001;24.02.2025;7900000;3,22;7645000;H;10.03.2025;rejected
O000195;L0000438;V026;D001;16.06.2025;2900000;6,27;2718000;H;30.06.2025;accepted
O000196;L0000439;V035;D001;29.05.2026;7900000;6,71;7370000;H;12.06.2026;accepted
O000197;L0000440;V017;D007;31.07.2026;4100000;11,66;3622000;H;14.08.2026;accepted
O000198;L0000441;V019;D004;02.10.2024;4500000;7,17;4177000;E;16.10.2024;accepted
O000199;L0000442;V022;D004;12.04.2025;9800000;0,17;9783000;E;26.04.2025;rejected
O000200;L0000444;V010;D006;05.03.2025;4600000;2,99;4462000;E;19.03.2025;accepted
O000201;L0000445;V004;D004;04.05.2026;5100000;0,0;5100000;E;18.05.2026;rejected
O000202;L0000446;V028;D005;15.08.2026;4000000;2,33;3906000;H;29.08.2026;rejected
O000203;L0000447;V020;D005;23.05.2026;6600000;4,79;6283000;H;06.06.2026;accepted
O000204;L0000450;V019;D003;09.08.2025;4500000;5,25;4263000;E;23.08.2025;rejected
O000205;L0000453;V033;D003;10.04.2025;5400000;5,69;5092000;E;24.04.2025;rejected
O000206;L0000456;V005;D003;20.01.2026;6900000;7,58;6377000;H;03.02.2026;accepted
O000207;L0000458;V017;D005;19.06.2026;4100000;7,07;3810000;H;03.07.2026;rejected
O000208;L0000459;V028;D010;15.09.2025;4000000;3,06;3877000;E;29.09.2025;rejected
O000209;L0000460;V024;D003;21.04.2026;2650000;5,85;2495000;H;05.05.2026;rejected
O000210;L0000464;V022;D003;13.12.2025;9800000;3,59;9448000;H;27.12.2025;accepted
O000211;L0000465;V018;D009;22.12.2025;4700000;8,76;4288000;E;05.01.2026;accepted
O000212;L0000466;V012;D001;23.06.2025;7100000;2,47;6924000;H;07.07.2025;rejected
O000213;L0000467;V010;D001;03.02.2026;4600000;1,54;4529000;H;17.02.2026;rejected
O000214;L0000468;V019;D006;20.08.2025;4500000;0,65;4470000;H;03.09.2025;accepted
O000215;L0000469;V026;D011;16.10.2024;2900000;2,99;2813000;E;30.10.2024;accepted
O000216;L0000472;V025;D001;13.04.2026;3050000;6,9;2839000;H;27.04.2026;accepted
O000217;L0000474;V027;D010;28.08.2026;3700000;4,89;3519000;H;11.09.2026;open
O000218;L0000475;V028;D005;21.10.2024;4000000;1,18;3952000;H;04.11.2024;rejected
O000219;L0000482;V017;D002;02.06.2025;4100000;3,38;3961000;H;16.06.2025;rejected
O000220;L0000483;V011;D009;15.07.2025;6400000;3,45;6179000;E;29.07.2025;accepted
O000221;L0000485;V034;D008;23.03.2026;6100000;4,46;5827000;E;06.04.2026;rejected
O000222;L0000488;V006;D001;14.05.2026;7800000;5,53;7368000;E;28.05.2026;accepted
O000223;L0000491;V019;D001;13.01.2025;4500000;2,92;4368000;E;27.01.2025;rejected
O000224;L0000493;V028;D001;13.10.2025;4000000;5,54;3778000;H;27.10.2025;rejected
O000225;L0000494;V031;D013;26.08.2025;10800000;5,41;10215000;H;09.09.2025;rejected
O000226;L0000496;V021;D007;11.11.2024;7400000;6,25;6937000;H;25.11.2024;accepted
O000227;L0000497;V017;D013;24.06.2025;4100000;9,26;3720000;H;08.07.2025;accepted
O000228;L0000499;V008;D002;22.06.2026;4200000;7,03;3904000;H;06.07.2026;accepted
O000229;L0000505;V013;D011;12.05.2025;11200000;4,15;10735000;H;26.05.2025;rejected
O000230;L0000508;V029;D008;06.08.2025;3300000;5,01;3134000;E;20.08.2025;rejected
O000231;L0000510;V010;D009;02.06.2026;4600000;4,96;4371000;H;16.06.2026;rejected
O000232;L0000512;V037;D003;23.05.2025;17500000;4,17;16770000;E;06.06.2025;accepted
O000233;L0000515;V025;D004;06.02.2025;3050000;2,25;2981000;E;20.02.2025;accepted
O000234;L0000518;V023;D002;15.08.2026;15900000;8,4;14565000;E;29.08.2026;rejected
O000235;L0000519;V027;D002;29.10.2025;3700000;5,69;3489000;H;12.11.2025;rejected
O000236;L0000524;V004;D001;15.05.2025;5100000;2,96;4949000;H;29.05.2025;rejected
O000237;L0000525;V027;D004;17.02.2026;3700000;3,21;3581000;H;03.03.2026;accepted
O000238;L0000526;V004;D003;17.11.2025;5100000;5,69;4809000;E;01.12.2025;accepted
O000239;L0000527;V017;D001;17.08.2026;4100000;9,58;3707000;E;31.08.2026;open
O000240;L0000528;V028;D001;24.03.2026;4000000;1,45;;E;07.04.2026;rejected
O000241;L0000530;V008;D008;02.06.2025;4200000;4,21;4023000;E;16.06.2025;accepted
O000242;L0000531;V012;D006;04.12.2024;7100000;9,39;6433000;E;18.12.2024;rejected
O000243;L0000534;V002;D006;28.07.2025;3900000;2,36;3807000;H;11.08.2025;rejected
O000244;L0000535;V026;D007;06.07.2026;2900000;4,21;2777000;H;20.07.2026;rejected
O000245;L0000536;V026;D008;16.01.2026;2900000;2,18;2836000;E;30.01.2026;rejected
O000246;L0000538;V026;D011;13.07.2026;2900000;4,67;2764000;E;27.07.2026;rejected
O000247;L0000540;V032;D009;09.02.2026;6200000;3,54;5980000;E;23.02.2026;rejected
O000248;L0000547;V035;D008;17.02.2025;7900000;2,36;7713000;E;03.03.2025;rejected
O000249;L0000548;V034;D007;28.05.2025;6100000;7,32;5653000;E;11.06.2025;rejected
O000250;L0000550;V024;D001;04.05.2026;2650000;4,4;2533000;E;18.05.2026;accepted
O000251;L0000553;V033;D002;11.08.2025;5400000;1,32;5328000;H;25.08.2025;rejected
O000252;L0000555;V016;D007;28.06.2025;5300000;5,07;5031000;E;12.07.2025;accepted
O000253;L0000559;V033;D012;02.08.2025;5400000;7,12;5015000;H;16.08.2025;rejected
O000254;L0000560;V011;D007;20.07.2026;6400000;1,58;6299000;E;03.08.2026;rejected
O000255;L0000562;V020;D011;04.08.2026;6600000;1,58;6495000;E;18.08.2026;accepted
O000256;L0000564;V020;D005;12.12.2025;6600000;5,29;6251000;H;26.12.2025;rejected
O000257;L0000569;V003;D003;21.04.2025;4650000;7,72;4291000;H;05.05.2025;rejected
O000258;L0000571;V034;D007;25.08.2026;6100000;4,2;5844000;E;08.09.2026;accepted
O000259;L0000572;V020;D010;19.01.2026;6600000;8,42;6044000;H;02.02.2026;rejected
O000260;L0000573;V002;D012;20.07.2026;3900000;99,0;3745000;H;03.08.2026;rejected
O000261;L0000575;V022;D007;13.04.2026;9800000;3,58;9448000;E;27.04.2026;accepted
O000262;L0000578;V011;D002;17.02.2025;6400000;5,07;6075000;E;03.03.2025;rejected
O000263;L0000579;V028;D001;03.06.2026;4000000;6,87;3725000;E;17.06.2026;rejected
O000264;L0000582;V018;D014;04.08.2025;4700000;1,97;4607000;E;18.08.2025;accepted
O000265;L0000584;V018;D002;14.10.2025;4700000;5,9;4422000;E;28.10.2025;accepted
O000266;L0000588;V036;D002;28.08.2026;14200000;3,66;13680000;H;11.09.2026;open
O000267;L0000589;V035;D005;04.08.2026;7900000;7,39;7316000;H;18.08.2026;rejected
O000268;L0000591;V026;D007;07.03.2026;2900000;2,02;2841000;E;21.03.2026;rejected
O000269;L0000592;V034;D004;25.12.2024;6100000;6,27;5717000;H;08.01.2025;rejected
O000270;L0000596;V028;D004;29.05.2026;4000000;3,25;3869000;H;12.06.2026;rejected
O000271;L0000597;V006;D002;22.12.2025;7800000;2,67;7591000;E;05.01.2026;rejected
O000272;L0000599;V034;D004;13.02.2026;6100000;3,86;5864000;E;27.02.2026;rejected
O000273;L0000603;V034;D001;23.12.2025;6100000;6,81;5684000;H;06.01.2026;accepted
O000274;L0000604;V008;D003;11.02.2025;4200000;1,47;4138000;E;25.02.2025;rejected
O000275;L0000606;V019;D001;02.11.2024;4500000;6,99;4185000;H;16.11.2024;rejected
O000276;L0000608;V034;D004;24.05.2025;6100000;3,76;5870000;E;07.06.2025;accepted
O000277;L0000609;V013;D004;10.11.2025;11200000;4,2;10729000;H;24.11.2025;rejected
O000278;L0000612;V009;D007;23.02.2026;4900000;8,29;4493000;H;09.03.2026;rejected
O000279;L0000613;V026;D007;26.12.2025;2900000;1,86;;H;09.01.2026;accepted
O000280;L0000614;V017;D005;07.10.2024;4100000;2,24;4008000;H;21.10.2024;rejected
O000281;L0000615;V018;D004;25.08.2025;4700000;4,42;4492000;E;08.09.2025;accepted
O000282;L0000620;V017;D003;16.06.2026;4100000;3,67;3949000;H;30.06.2026;accepted
O000283;L0000621;V021;D001;21.10.2024;7400000;4,77;7047000;E;04.11.2024;rejected
O000284;L0000622;V027;D002;20.10.2025;3700000;3,01;3588000;E;03.11.2025;rejected
O000285;L0000623;V003;D002;29.06.2026;4650000;8,45;4257000;H;13.07.2026;rejected
O000286;L0000632;V004;D001;03.01.2025;5100000;2,69;4962000;E;17.01.2025;accepted
O000287;L0000634;V018;D005;20.10.2025;4700000;0,0;4700000;E;03.11.2025;accepted
O000288;L0000635;V026;D005;24.04.2026;2900000;5,62;2736000;H;08.05.2026;rejected
O000289;L0000636;V033;D006;28.07.2025;5400000;4,02;5182000;H;11.08.2025;rejected
O000290;L0000637;V025;D014;23.09.2025;3050000;4,81;2903000;H;07.10.2025;accepted
O000291;L0000638;V035;D003;11.12.2025;7900000;0,0;7900000;E;25.12.2025;accepted
O000292;L0000639;V034;D005;18.12.2025;6100000;4,49;5825000;H;01.01.2026;accepted
O000293;L0000642;V017;D011;30.07.2026;4100000;2,6;;H;13.08.2026;rejected
